2006/12/15,BUY
2007/01/03,SELL
2007/01/15,BUY
2007/01/24,SELL
2007/02/14,BUY
2007/02/22,SELL
2007/03/15,BUY
2007/03/22,SELL
2007/04/13,BUY
2007/04/20,SELL
2007/04/27,BUY
2007/05/18,SELL
2007/05/25,BUY
2007/06/15,SELL
2007/06/26,BUY
2007/07/26,SELL
2007/08/03,BUY
2007/08/24,SELL
2007/08/31,BUY
2007/09/21,SELL
2007/09/28,BUY
2007/10/19,SELL
2007/10/29,BUY
2007/11/16,SELL
2007/11/27,BUY
2007/12/26,SELL
2008/01/03,BUY
2008/01/25,SELL
2008/02/01,BUY
2008/02/22,SELL
2008/03/04,BUY
2008/03/11,SELL
2008/04/02,BUY
2008/04/09,SELL
2008/04/30,BUY
2008/05/08,SELL
2008/05/28,BUY
2008/06/06,SELL
2008/06/24,BUY
2008/07/07,SELL
2008/07/15,BUY
2008/08/05,SELL
2008/08/13,BUY
2008/09/03,SELL
2008/09/11,BUY
2008/10/01,SELL
2008/10/10,BUY
2008/10/17,SELL
2008/11/07,BUY
2008/11/14,SELL
2008/12/05,BUY
2008/12/16,SELL
2009/01/08,BUY
2009/01/15,SELL
2009/01/23,BUY
2009/02/13,SELL
2009/02/20,BUY
2009/03/13,SELL
2009/03/20,BUY
2009/04/09,SELL
2009/04/20,BUY
2009/05/08,SELL
2009/05/19,BUY
2009/05/29,SELL
2009/06/17,BUY
2009/06/26,SELL
2009/07/20,BUY
2009/07/27,SELL
2009/08/18,BUY
2009/08/24,SELL
2009/09/15,BUY
2009/09/22,SELL
2009/09/30,BUY
2009/10/20,SELL
2009/10/29,BUY
2009/11/18,SELL
2009/11/27,BUY
2009/12/28,SELL
2010/01/05,BUY
2010/01/27,SELL
2010/02/03,BUY
2010/03/04,SELL
2010/03/12,BUY
2010/04/01,SELL
2010/04/09,BUY
2010/04/30,SELL
2010/05/07,BUY
2010/05/28,SELL
2010/06/07,BUY
2010/06/18,SELL
2010/07/08,BUY
2010/07/16,SELL
2010/08/06,BUY
2010/08/13,SELL
2010/09/03,BUY
2010/09/10,SELL
2010/10/04,BUY
2010/10/11,SELL
2010/10/18,BUY
2010/11/08,SELL
2010/11/17,BUY
2010/12/07,SELL
2010/12/17,BUY
2011/01/06,SELL
2011/01/14,BUY
2011/01/24,SELL
2011/02/15,BUY
2011/02/22,SELL
2011/03/16,BUY
2011/03/23,SELL
